timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667946878281,364,Player_token,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,2456,372,5,5,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,364,0,0
1667946878285,386,Player_token,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,2456,372,5,5,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,386,0,0
1667946878671,660,Get_player_info,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1338,1099,5,5,http://test-api.d6.dev.devcaz.com/v2/players,660,0,0
1667946878332,1016,register_player,201,Created,jp@gc - Ultimate Thread Group 1-5,text,true,,1197,1003,5,5,http://test-api.d6.dev.devcaz.com/v2/players,1016,0,0
1667946878644,720,Get_player_info,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1338,1099,5,5,http://test-api.d6.dev.devcaz.com/v2/players,720,0,0
1667946878645,773,Get_player_info,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1338,1099,5,5,http://test-api.d6.dev.devcaz.com/v2/players,773,0,0
1667946878636,839,Get_player_info,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1338,1099,5,5,http://test-api.d6.dev.devcaz.com/v2/players,839,0,0
1667946879349,329,Player_token_after_register,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,2456,374,5,5,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,329,0,0
1667946879334,832,Get_player_by_id,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1151,1105,5,5,http://test-api.d6.dev.devcaz.com/v2/players/45261,832,0,0
1667946879365,847,Get_player_by_id,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1151,1105,5,5,http://test-api.d6.dev.devcaz.com/v2/players/45261,847,0,0
1667946879419,852,Get_player_by_id,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1151,1105,5,5,http://test-api.d6.dev.devcaz.com/v2/players/45261,852,0,0
1667946879680,601,Get_player_info,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1340,1099,5,5,http://test-api.d6.dev.devcaz.com/v2/players,601,0,0
1667946879476,1048,Get_player_by_id,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1151,1105,5,5,http://test-api.d6.dev.devcaz.com/v2/players/45261,1048,0,0
1667946880283,853,Get_player_by_id,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1153,1105,5,5,http://test-api.d6.dev.devcaz.com/v2/players/45312,853,0,0
